Crypt_size_1	Crypt_size_2	Crypt_size_3	Crypt_size_4	Crypt_size_5	Crypt_size_6	Crypt_size_7	Crypt_size_8	Crypt_size_9	Crypt_size_10	Crypt_size_11	Crypt_size_12	Crypt_size_13	Crypt_size_14	Crypt_size_15	Crypt_size_16	Crypt_size_17	Crypt_size_18	Crypt_size_19	Crypt_size_20
0	1	2	5	18	9	30	46	112	247	109	114	619	324	434	240	741	548	1412	2011
0	1	5	6	12	26	144	156	65	125	399	110	723	361	822	219	1033	723	1005	1371
0	1	2	18	29	42	21	70	102	82	301	422	454	159	282	385	807	463	1547	2066
0	1	2	24	26	27	29	43	415	241	362	350	242	421	355	526	612	344	900	1589
0	1	3	8	9	43	128	49	87	265	223	254	195	466	530	718	977	1854	750	391
0	1	4	4	39	18	60	177	158	95	120	368	789	444	639	311	495	848	591	1868
0	1	8	10	10	34	21	37	67	368	215	719	140	374	1182	412	1038	462	1045	734
0	1	6	10	15	10	60	59	124	82	187	377	613	512	600	353	448	1348	1059	988
0	1	3	8	62	55	123	170	219	83	101	193	126	314	455	619	425	1277	801	1453
0	1	2	3	21	12	88	96	205	96	181	232	581	742	825	322	529	852	818	430
0	1	12	4	14	20	31	50	112	87	89	225	131	759	1116	1416	1076	595	760	1731
0	1	6	10	18	33	126	69	153	124	170	285	147	452	899	484	777	526	971	911
0	1	6	9	33	51	41	83	138	335	151	363	334	249	763	3111	375	659	1862	2216
0	1	3	16	18	15	93	176	226	85	266	121	228	392	1366	488	835	507	567	3569
0	1	8	3	21	45	45	275	73	408	169	272	265	294	307	826	920	784	843	1164
0	1	6	5	32	44	49	57	91	166	57	151	507	552	961	395	732	300	844	3162
0	1	2	17	16	20	17	71	47	186	172	203	193	327	764	596	553	1238	406	2000
0	1	6	13	10	35	59	83	32	269	90	96	565	357	361	379	1065	593	696	2228
0	1	4	5	6	39	31	330	109	111	256	287	754	376	1770	513	1052	485	737	2557
0	1	2	10	12	24	78	104	77	107	284	185	515	622	265	611	828	987	489	1953
0	1	2	5	22	41	32	65	151	36	207	119	215	765	477	1240	700	423	1434	1048
0	1	7	11	8	17	47	73	59	443	311	96	658	918	453	394	589	655	1622	1277
0	1	8	7	23	23	108	107	64	144	74	349	361	278	286	784	530	988	1231	1848
0	1	2	12	8	44	21	143	49	110	231	282	339	381	1050	589	1758	1214	3359	1417
0	1	3	7	60	26	44	87	188	363	111	356	256	350	292	2121	298	415	1683	428
0	1	3	6	20	49	88	32	95	129	373	339	347	345	505	434	1423	1762	1281	532
0	1	7	23	24	48	13	45	144	264	222	312	213	242	702	858	260	1228	1237	1772
0	1	4	8	13	15	71	73	126	203	63	316	745	147	543	378	229	1446	709	1383
0	1	4	9	14	25	26	76	77	184	215	134	217	1830	387	1435	940	2073	1244	2271
0	1	4	3	39	27	36	224	62	118	432	85	618	465	271	547	589	974	2229	764
0	1	4	9	11	23	52	115	145	100	100	128	213	223	523	429	866	796	2011	1384
0	1	3	13	30	18	113	59	135	128	217	197	125	292	364	849	339	467	889	535
0	1	7	8	25	27	44	60	90	139	314	313	97	317	887	723	666	1227	934	1093
0	1	2	11	26	33	30	19	66	164	121	565	91	590	284	439	1942	161	513	1868
0	1	3	6	14	39	30	48	142	288	168	198	408	289	372	305	540	303	1241	611
0	1	3	10	27	17	22	135	82	244	441	408	1204	712	561	819	422	542	1121	1473
0	1	2	6	63	15	54	79	208	235	174	213	164	496	520	282	1405	697	1084	3183
0	1	2	10	7	35	71	46	85	339	175	57	191	258	121	332	1195	1124	1620	2141
0	1	3	31	24	29	60	72	40	116	184	192	626	215	1038	710	803	311	414	851
0	1	3	4	39	52	31	59	109	83	337	150	317	409	495	227	342	417	824	1158
0	1	4	6	11	17	42	81	152	237	166	459	654	343	480	697	519	1648	787	1030
0	1	7	4	16	109	28	173	65	69	75	109	372	340	831	1665	620	559	580	1937
0	1	6	5	10	39	89	33	81	48	110	354	365	359	1402	1063	920	663	1130	526
0	1	2	4	6	38	55	139	287	105	208	416	231	194	1095	144	646	1455	838	981
0	1	2	13	7	36	26	79	45	50	86	409	397	462	1271	642	453	584	651	658
0	1	2	6	15	130	68	167	95	136	128	278	202	852	1610	1310	2071	456	2155	925
0	1	5	3	9	24	29	126	192	150	291	150	239	621	330	378	214	2726	690	625
0	1	2	7	12	12	45	115	62	135	339	88	253	217	1255	1354	740	508	602	476
0	1	13	21	27	37	57	13	47	318	108	84	185	763	466	470	2371	463	818	2647
0	1	2	11	11	32	24	32	191	123	245	791	214	282	591	507	1084	1280	1581	635
0	1	2	11	38	21	44	115	127	85	777	272	483	279	436	613	480	249	503	1219
0	1	2	8	7	30	95	238	119	151	96	104	515	270	573	1117	268	1690	2080	944
0	1	2	14	12	32	51	113	52	159	263	397	375	619	539	1090	474	515	1174	619
0	1	3	12	12	70	68	19	175	198	164	717	453	252	303	188	1534	402	783	1737
0	1	4	3	10	63	61	42	198	93	186	269	350	234	194	684	764	2461	1041	1853
0	1	2	11	36	109	28	55	168	135	256	531	414	339	220	670	918	2607	498	554
0	1	2	29	13	40	29	85	171	188	124	431	305	492	446	972	595	867	803	1781
0	1	2	14	25	36	137	201	410	334	131	197	656	280	441	603	872	243	1582	1362
0	1	5	36	19	41	55	46	191	52	184	220	221	1215	386	498	1304	446	807	1402
0	1	3	17	24	46	39	81	67	324	286	249	196	610	257	483	1537	1140	1715	1377
0	1	8	8	7	12	19	50	65	213	185	213	262	419	870	839	993	1216	1294	749
0	1	2	8	7	127	95	45	103	94	133	204	585	149	349	607	332	1281	417	1011
0	1	5	6	11	24	83	161	164	149	240	496	183	238	1597	712	769	933	2155	567
0	1	2	10	4	55	19	74	99	132	112	523	292	382	237	265	362	329	776	1033
0	1	5	6	13	18	42	55	84	200	177	329	331	199	981	3727	537	625	694	729
0	1	2	16	12	30	48	90	179	191	89	263	179	299	412	184	1721	1257	1683	1063
0	1	9	10	6	36	123	16	227	136	201	287	143	263	435	1136	168	2499	1415	840
0	1	6	11	88	21	44	27	87	243	190	232	593	349	613	644	1503	552	2231	639
0	1	3	5	11	18	61	89	148	478	106	345	385	666	809	890	1094	2499	940	856
0	1	2	6	14	52	32	48	88	94	179	288	945	557	776	852	498	795	2163	1374
0	1	2	8	10	15	60	57	70	203	87	535	278	164	427	530	2516	941	1872	1138
0	1	5	8	16	57	38	38	60	187	452	164	374	197	300	1548	499	1499	1050	2524
0	1	2	7	72	45	16	131	154	47	412	174	477	714	753	259	621	663	339	3367
0	1	2	7	43	38	83	74	178	105	410	111	190	594	455	445	1350	863	820	1374
0	1	6	13	14	46	40	92	177	79	174	97	195	240	364	886	706	333	1021	506
0	1	3	6	11	28	199	171	65	121	368	479	529	704	1779	710	547	611	1100	944
0	1	2	13	8	29	77	21	80	69	173	310	420	707	310	614	542	723	845	1122
0	1	7	6	16	44	40	183	220	74	273	108	512	277	381	296	1615	650	767	711
0	1	2	16	19	27	39	67	74	161	602	180	522	162	287	234	752	1374	1029	736
0	1	5	18	16	20	40	75	132	193	131	452	806	343	236	231	1286	1196	758	926
0	1	4	11	39	19	45	27	49	329	173	209	110	419	640	1000	370	999	1672	735
0	1	2	7	4	32	70	66	53	140	215	89	78	1069	886	1032	665	589	1189	621
0	1	3	5	19	56	14	205	107	172	349	208	187	762	691	472	1202	1360	1479	1526
0	1	5	9	6	13	25	21	473	89	323	185	141	521	452	1225	249	1121	1286	706
0	1	2	8	8	37	52	27	156	209	188	177	154	157	635	421	1643	829	973	2831
0	1	9	10	35	23	40	53	84	73	156	202	370	201	262	962	396	1300	1938	2614
0	1	2	4	43	9	49	186	128	65	362	192	478	550	527	237	925	542	2691	959
0	1	2	6	27	15	66	61	114	236	79	326	125	467	2126	406	358	1559	349	1562
0	1	3	6	8	20	18	40	62	83	85	187	235	161	148	1658	651	258	903	904
0	1	8	10	24	35	107	39	82	197	265	191	302	516	2630	856	876	1008	2319	1163
0	1	11	8	21	6	30	51	88	52	143	218	159	169	357	227	524	581	387	532
0	1	5	7	11	15	32	38	166	192	167	269	176	354	541	252	1960	1318	1198	1248
0	1	2	19	36	40	86	24	155	251	274	103	724	351	183	601	636	1389	1155	1417
0	1	7	16	9	37	70	58	83	108	121	495	615	369	1044	164	828	1042	2411	3542
0	1	2	3	14	20	115	94	96	87	250	334	342	433	530	480	1484	1110	474	1176
0	1	4	8	25	30	19	159	87	132	217	673	177	363	846	853	275	2478	1459	1547
0	1	2	15	23	55	20	113	255	112	283	243	115	228	908	657	2285	405	1893	646
0	1	2	4	26	15	63	91	157	256	198	215	166	368	271	393	418	567	643	911
0	1	2	6	28	33	111	105	74	188	108	216	1479	548	337	624	846	1938	330	1156
0	1	2	5	13	32	32	93	238	107	127	99	483	553	339	1124	759	1650	545	561
0	1	4	10	99	63	35	42	93	32	169	287	776	277	421	803	1746	544	1310	1251
0	1	2	11	34	39	36	69	121	76	81	181	299	208	1063	383	744	980	1530	1205
0	1	10	8	10	14	154	20	109	112	357	344	185	368	330	1200	823	769	1066	505
0	1	3	9	9	19	62	33	150	81	104	424	189	773	569	470	904	522	345	4117
0	1	4	6	11	20	67	81	144	157	232	368	686	156	377	444	815	761	1101	589
0	1	3	14	11	62	18	118	136	94	141	150	204	274	542	316	327	2426	331	393
0	1	3	15	22	34	39	122	143	115	330	180	859	240	487	259	429	415	481	930
0	1	3	13	9	22	62	125	25	254	154	550	288	1012	167	1350	1330	2080	2429	804
0	1	6	6	31	32	12	95	158	104	159	399	341	213	371	540	1732	367	1134	1461
0	1	2	5	64	47	27	26	34	61	96	222	325	547	240	724	1895	1556	974	1939
0	1	5	3	9	31	124	74	156	160	80	398	731	355	399	887	2513	637	742	1134
0	1	6	8	14	32	17	50	212	85	192	855	578	408	339	333	1188	489	456	1174
0	1	2	9	7	22	40	49	58	82	249	615	310	698	823	668	336	3276	2297	824
0	1	2	11	14	58	56	64	102	89	162	287	144	715	1070	795	499	945	332	506
0	1	5	3	6	59	48	62	89	118	547	126	216	177	529	1001	839	702	2054	766
0	1	5	6	59	18	65	28	99	62	523	207	904	329	396	356	428	590	1730	1099
0	1	4	5	39	18	41	117	87	58	59	225	293	159	393	1016	752	991	582	1650
0	1	2	5	44	23	33	33	90	53	326	309	345	123	346	837	760	559	471	1387
0	1	2	9	62	23	69	64	82	84	677	1408	702	195	428	318	329	609	462	1040
0	1	5	12	39	34	85	45	68	555	89	327	118	279	241	878	372	394	786	2335
0	1	2	9	21	65	65	38	269	144	374	458	754	1142	811	155	810	640	841	1621
0	1	2	5	8	42	92	98	205	204	131	225	221	723	638	1417	1388	1650	569	724
0	1	3	3	8	15	38	62	171	166	196	330	210	69	393	795	447	812	773	1198
0	1	2	7	13	15	54	46	343	94	181	202	273	329	166	734	278	358	365	664
0	1	8	5	10	40	91	33	97	162	230	113	181	387	583	213	1326	412	1229	1288
0	1	2	12	18	32	33	32	46	55	182	142	517	178	234	622	807	691	2912	2320
0	1	4	25	7	76	23	57	329	139	94	408	223	283	1410	875	1070	613	1131	661
0	1	5	12	30	23	21	40	157	252	308	890	245	429	978	873	931	1352	1640	2587
0	1	2	4	5	50	45	29	31	146	286	180	419	1257	695	377	597	1227	985	1353
0	1	7	6	13	22	39	59	132	197	339	319	299	537	224	280	705	549	575	1198
0	1	4	4	8	26	61	53	170	260	140	252	258	386	839	980	1196	692	718	1575
0	1	3	21	19	27	80	160	225	140	88	369	120	772	215	291	720	815	1141	709
0	1	3	4	26	35	47	75	118	112	74	216	613	211	253	432	506	462	865	1012
0	1	2	5	23	17	27	81	140	214	259	241	318	604	629	559	192	581	558	1055
0	1	4	5	31	37	28	41	60	31	161	259	259	680	444	338	839	2663	1124	662
0	1	7	7	34	14	112	60	33	94	315	160	1159	296	252	482	787	1161	651	1259
0	1	5	3	9	48	50	91	220	123	249	183	264	353	550	736	187	621	3578	859
0	1	5	8	33	27	71	43	126	155	65	97	216	262	950	1222	529	1543	323	1569
0	1	2	9	16	39	62	42	131	113	303	108	342	426	444	463	828	827	989	1011
0	1	2	27	6	91	58	76	45	137	191	786	241	200	834	517	495	153	1959	2178
0	1	5	14	46	20	22	57	95	68	329	158	396	626	678	721	1177	1183	765	476
0	1	3	3	38	31	33	57	138	191	140	204	316	554	307	756	520	962	1098	877
0	1	5	3	14	44	48	41	128	70	176	141	93	294	220	874	1358	523	504	2027
0	1	2	6	23	12	21	184	64	160	149	382	99	430	604	1168	634	616	860	1613
0	1	5	14	22	45	98	50	57	136	205	324	765	199	224	709	705	435	691	1130
0	1	3	5	11	14	153	141	128	270	402	150	245	185	512	552	627	305	1548	594
0	1	3	22	24	64	25	47	73	99	311	392	268	586	437	273	423	2651	522	4443
0	1	4	12	25	22	37	79	149	131	407	179	469	290	924	1789	371	399	798	1491
0	1	2	3	11	16	54	162	116	109	393	255	446	1103	872	209	438	1257	1260	5118
